run,case,phase,kernel,calls,total_us,share_pct,mean_us,median_us,p95_us,max_us,top_one_pct_of_group,time_rank,count_rank
1,b1_p2048_o32,decode_early,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0,1695,1395.914,3.4841901745225066,0.8235480825958702,0.833,1.0243,1.665,0.11927668896507951,4,2
1,b1_p2048_o32,decode_early,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)",420,5946.3820000000005,14.842121891719328,14.15805238095238,13.1845,13.665,421.212,7.083500521829912,2,3
1,b1_p2048_o32,decode_early,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(flash::Flash_fwd_params)",420,2152.347,5.372240889885046,5.124635714285715,3.872,3.904,337.559,15.683298278576828,3,4
1,b1_p2048_o32,decode_early,store_kvcache_kernel,420,303.572,0.7577132829530662,0.7227904761904762,0.705,0.737,0.961,0.3165641099969694,6,5
1,b1_p2048_o32,decode_early,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0,420,298.477,0.74499620372097,0.7106595238095238,0.704,0.8335999999999985,1.152,0.3859593871554592,7,6
1,b1_p2048_o32,decode_early,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_1,420,295.671,0.737992450173323,0.7039785714285713,0.704,0.705,0.896,0.30303952704188103,8,7
1,b1_p2048_o32,decode_early,triton_poi_fused_mul_silu_split_0,420,219.798,0.5486140492750254,0.5233285714285715,0.512,0.545,0.896,0.40764702135597236,9,8
1,b1_p2048_o32,decode_early,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",30,16.065,0.04009811145507824,0.5355,0.528,0.608,0.672,4.183006535947713,15,9
1,b1_p2048_o32,decode_early,triton_red_fused__softmax_argmax_clamp_min_div_exponential_5,15,972.194,2.426588444939827,64.81293333333333,64.709,65.1947,65.285,6.715223504773739,5,10
1,b1_p2048_o32,decode_early,triton_red_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_3,15,35.329,0.08818090131319382,2.3552666666666666,2.368,2.4103,2.432,6.883863115287723,10,11
1,b1_p2048_o32,decode_early,triton_red_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_0,15,23.842,0.059509441227013696,1.5894666666666666,1.568,1.6736,1.696,7.113497189833068,11,12
1,b1_p2048_o32,decode_early,triton_poi_fused__softmax__to_copy_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_2,15,21.826999999999998,0.05448001735013958,1.4551333333333334,1.472,1.4823,1.504,6.8905484033536455,12,13
1,b1_p2048_o32,decode_early,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)",15,19.456,0.04856202032181774,1.2970666666666668,1.312,1.344,1.344,6.907894736842105,13,14
1,b1_p2048_o32,decode_early,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned long, (int)2, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned long, ulonglong2, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned long) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned long) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",15,16.866,0.04209740104583563,1.1244,1.12,1.1936,1.216,7.209771137199098,14,15
1,b1_p2048_o32,decode_early,triton_per_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_1,15,14.177,0.0353856785620071,0.9451333333333334,0.96,1.0208,1.088,7.674402200747691,16,16
1,b1_p2048_o32,decode_early,triton_per_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_4,15,10.529,0.026280299751666274,0.7019333333333333,0.704,0.7455999999999999,0.768,7.294139994301453,17,17
1,b1_p2048_o32,decode_late,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",1808,30020.13,70.1881168993222,16.604054203539825,11.2165,16.417,1193.265,3.9748828536052314,1,1
1,b1_p2048_o32,decode_late,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0,1808,1807.103,4.225070198334112,0.999503871681416,0.832,1.024,338.007,18.704357194913623,4,2
1,b1_p2048_o32,decode_late,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)",448,6607.002,15.447402417313167,14.747772321428572,13.345,13.877149999999999,356.504,5.395851249931512,2,3
1,b1_p2048_o32,decode_late,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(flash::Flash_fwd_params)",448,1937.9279999999999,4.530943637035204,4.3257321428571425,3.872,3.904,212.271,10.953502916517023,3,4
1,b1_p2048_o32,decode_late,store_kvcache_kernel,448,323.995,0.7575116741598352,0.723203125,0.705,0.768,0.896,0.27654747758453063,6,5
1,b1_p2048_o32,decode_late,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0,448,318.073,0.7436658304450415,0.709984375,0.704,0.832,1.152,0.3621810087621395,7,6
1,b1_p2048_o32,decode_late,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_1,448,315.98699999999997,0.7387886892783648,0.705328125,0.704,0.736,0.896,0.28355596907467717,8,7
1,b1_p2048_o32,decode_late,triton_poi_fused_mul_silu_split_0,448,233.711,0.5464245154387236,0.5216763392857143,0.512,0.544,0.896,0.3833794729388005,9,8
1,b1_p2048_o32,decode_late,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",32,17.25,0.04033110504562464,0.5390625,0.5285,0.6084499999999999,0.672,3.8956521739130436,15,9
1,b1_p2048_o32,decode_late,triton_red_fused__softmax_argmax_clamp_min_div_exponential_5,16,1037.222,2.42506141667437,64.826375,64.7885,65.10825,65.157,6.281876011114304,5,10
1,b1_p2048_o32,decode_late,triton_red_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_3,16,38.147999999999996,0.08919136204524573,2.3842499999999998,2.384,2.43275,2.528,6.626821851735348,10,11
1,b1_p2048_o32,decode_late,triton_red_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_0,16,25.57,0.059783556870528824,1.598125,1.5685,1.768,1.888,7.383652718028939,11,12
1,b1_p2048_o32,decode_late,triton_poi_fused__softmax__to_copy_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_2,16,23.618,0.05521971240391668,1.476125,1.472,1.568,1.568,6.639004149377595,12,13
1,b1_p2048_o32,decode_late,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)",16,20.801000000000002,0.048633467597335556,1.3000625000000001,1.2805,1.36,1.408,6.768905341089369,13,14
1,b1_p2048_o32,decode_late,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<unsigned long, (int)2, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::<unnamed>::distribution_nullary_kernel<long, unsigned long, ulonglong2, at::CUDAGeneratorImpl *, void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(curandStatePhilox4_32_10 *) (instance 1)], void at::native::templates::cuda::random_from_to_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, unsigned long, long, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(unsigned long) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, unsigned long) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",16,17.826,0.041677813248887245,1.114125,1.12,1.16025,1.185,6.647593402894648,14,15
1,b1_p2048_o32,decode_late,triton_per_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_1,16,15.33,0.03584207770141599,0.958125,0.96,1.08,1.152,7.514677103718199,16,16
1,b1_p2048_o32,decode_late,triton_per_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_4,16,11.264,0.026335627086024112,0.704,0.704,0.736,0.736,6.534090909090909,17,17
1,b1_p2048_o32,full_request,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0,3560,3598.727,3.0365465169287322,1.0108783707865168,0.864,1.088,338.007,9.3924045919571,8,1
1,b1_p2048_o32,full_request,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",3504,58691.378,49.52281721832404,16.749822488584474,11.2,16.449,1193.265,2.033118050150399,1,2
1,b1_p2048_o32,full_request,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0,896,1964.419,1.6575443683943305,2.192431919642857,0.704,0.90475,794.166,40.42752589951533,10,3
1,b1_p2048_o32,full_request,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_1,896,842.809,0.7111483403398445,0.9406350446428571,0.704,0.768,9.089,1.0784175299504397,11,4
1,b1_p2048_o32,full_request,store_kvcache_kernel,896,785.948,0.6631699659038053,0.8771741071428572,0.705,0.80025,7.201,0.9162183757704071,12,5
1,b1_p2048_o32,full_request,triton_poi_fused_mul_silu_split_0,896,710.682,0.5996617558775492,0.793171875,0.512,0.64,33.442,4.705620798050323,13,6
1,b1_p2048_o32,full_request,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)",868,12553.384,10.592338474374099,14.462423963133642,13.249,13.793,421.212,3.3553661705879465,3,7
1,b1_p2048_o32,full_request,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(flash::Flash_fwd_params)",868,4090.275,3.4513066160702577,4.712298387096774,3.872,3.904,337.559,8.252721394038298,6,8
1,b1_p2048_o32,full_request,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",62,33.315,0.02811064779614589,0.5373387096774194,0.5285,0.608,0.672,2.0171094101755966,20,9
1,b1_p2048_o32,full_request,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params),56,15987.419,13.489920596680502,285.489625,249.95299999999997,711.25625,1127.725,7.0538277629428485,2,10
1,b1_p2048_o32,full_request,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0,56,409.181,0.34526018237655026,7.3068035714285715,8.945,9.281,15.137,3.699340878486538,14,11
1,b1_p2048_o32,full_request,triton_red_fused__softmax_argmax_clamp_min_div_exponential_5,32,2074.604,1.7505166549744995,64.831375,64.77250000000001,65.17095,65.285,3.1468656186915673,9,12
1,b1_p2048_o32,full_request,triton_red_fused__softmax_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_3,32,75.845,0.0639967606813353,2.37015625,2.368,2.4149499999999997,2.528,3.333113586920694,15,13
1,b1_p2048_o32,full_request,triton_red_fused__to_copy_amax_ge_mul_neg_scalar_tensor_unsqueeze_where_0,32,50.981,0.043016927368912314,1.59315625,1.5685,1.7104,1.888,3.703340460171436,16,14
1,b1_p2048_o32,full_request,triton_poi_fused__softmax__to_copy_div_ge_mul_neg_scalar_tensor_sub_unsqueeze_where_2,32,46.693,0.03939878365737476,1.45915625,1.472,1.55095,1.568,3.3581050692823338,17,15
